Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
166,Mozart,Sympnony No. 1 in Eb Major,Full,0,Score Only,,
167,Mozart/Dacow,Symphony No. 15 in G major: Finale,string,3,,,
168,Mozart,Concerto in C,"piano, chamber orchestra",N,Score only,,
169,Mozart,March of the Priests from The Magic Flute,string,N,,,
170,Mosier,Overture to the Wind,string orchestra,5,,,
171,Mussorgsky,Pictures at an Exhibition,"string orchestra, saxophone, piano",4,,,
172,Nelhybel,Danza,string orchestra,3,,,
173,Niehaus,Hillcrest Overture,strings,3,,,
174,Niehaus,Fanflairs,string orchestra,N,,,
175,O'Donnell/Savatori,Themes from Halo 3/ Luck & Finish the Fight,string/synthesizer,N,,,
176,O'Fallon,Legend,string,3,,,
177,Olah,Appalachian Lament,string,N,,,
178,Pachelbel,Canon for Strings,strings,N,,,
179,Persichetti,Introit for Strings,string,5,Score only,,
180,Prokofiev,Suite for Strings,string orchestra,3,,,
181,Purcell,Chacony in G Minor,string,4,,,
182,Pierne,Serenade for Strings,,N,,,
183,Puccini,Chrisanthemum,string,N,,,
184,Purcell,Voluntary and March,string/trumpet,N,,,
185,Purcell,Sonata No. 9/ Golden Sonata,string orchestra,5,No Score - missing 2nd vln,,
186,Rachmaninov,Russian Polka,strings,N,,,
187,Rameau,Castor et Pollux Overture,string,N,,,
188,"Rachmaninov, Sergey",Romanze and Scherzo,string orchestra,non IUL,,,
189,"Rachmaninov, Sergey",Eighteenth Variation,string/piano,N,,,
190,"Ravel, Maurice",The Enchanted Garden from Mother Goose Suite,string orchestra,3.5,,,
191,"Ravel, Maurice",Pavane,string orchestra,4+,,,
192,"Richardson, Darrell",Elegy,string,N,,,
193,"Rawsthrone, Alan",Light Music for Strings/ Catalan Tunes,string orchestra,4,,,
194,Rimsky-Korsakoff,Capriccio Espagnol,string orchestra,3 or 4,,,
195,"Rhoads, William",Les Folies D'Espangne,string,N,,,
196,"Ree, Alfred",Titania's Nocturne,string orchestra,N,,,
197,"Reger, Max",Christmas Op. 145 No. 3,string orchestra,N,,,
198,Rimsky-Korsakoff,The Young Prince & Princess,string orchestra,3,,,
199,Rossini/McLeod,William Tell Overture,string,N,Good,,
200,Rossini/Wright,Sonata No. 1,string orchestra,5,play mvt 1 or 3,,
201,Schubert/Clebanoff,Sonata No. 1 Opus 137,string,N,,,
202,"Schubert, Franz",Overture uin C Minor,string,N,,,
203,"Sharp, Tom","Still, Still, Still",string,N,,,
204,Rimsky-Korsakoff,Dance of the Tumblers,string orchestra,2,,,
205,Schubert/Frost,Schubert Dance Suite,string orchestra,2,Play Mvt. 1 or 3,,
206,"Siennicki, Edmund",Chorale and Fugue,string orchestra,N,,,
207,"Siennicki, Edmund",Stringin' the Blues,string orchestra,N,,,
208,Smetana/Frost,Themes From the Moldau,string orchestra,2.5-3,,,
209,"Sontag, Wesley",Folk Song Set,string orchestra,N,,,
210,"Shapiro, Marsha",Folk Songs of the British Isles,string orchestra,1,Sightreading,,
211,"Sheinberg, Art",Festival March,string orchestra,N,Sightreading,,
212,"Shaffer, David",Westminster Prelude and Fugue,string,2,,,
213,Satie/Klotman,Gymnopedies,"string orchestra, harp, piano",3,Need piano part,,
214,"Smith, Robert",Variant on an Old English Carol,string orchestra,N,,,
215,Sousa/Zinn,The Washington Post,string orchestra,N,,,
216,Doug,Gargoyles,String,N,,,
217,Stamitz,"Symphony, Op 4, No. 2 ""Christmas Symphony (Pastorelle for string only)",string,N,,,
218,Stephan,When Johnny Comes Marching Home,string,3,,,
219,Stephan,Vanguard Overature,,N,,,
220,Richard Stephan,Fantasia on a 17th centry Tune (Picardy),,4,,,
221,M. Shapiro,Variations on a Ground,string,1,,,
222,Stephan,Variations on a Well-Known Sea Chantey,string,3,,,
223,"Strauss, J",Pizzicato Polka,string,N,,,
224,"Strauss, J",Pizzicato Polka,string,N,,,
225,Tartini/Mosier,Sonata in D Major,,3 or 4,"4 play all, 3 mvt 1",,
226,Tchaikovsky,"Chanson Triste Op 40, #2",string,N,,,
227,Tchaikovsky,Largo + Allegro,flute & strings,N,,,
228,Sally Kirk,Wonder of Life,String,N,Piano/Harp + Drumset,,
229,Tchaikovsky,Sleeping Beauty Waltz,strings,N,,,
230,Tchaikovsky,Children's Album,strings,N,,,
231,Tchaikovsky,Jewel Dances from Sleeping Beauty,string + percussion,N,,,
232,Tchaikovsky,Serenade for Strings in C Major,strings,N,"2 Folders w/ scores, originals",,
233,Tchaikovsky,Sleeping Beauty Waltz,string,N,,,
234,Tchaikovsky,Pantomine,string,N,,,
235,Tchaikovsky,Suite from the Nutcracker,strings,N,,,
236,Tchaikovsky,Three Dances from the Nutcracker,strings,N,,,
237,Tchaikovsky,Pantomine from Nutcracker,strings,N,,,
238,Tchaikovsky,Mother Ginger from Nutcracker,Strings,N,,,
239,Tchaikovsky,Trepak/Nutcracker,string,2,,,
240,Vivaldi,Concerto for Violin in A Minor ep. 3,String,N,,,
241,Telemann,Die Wassermusik cov. In C,string/flute/bass,N,,,
