84,Elgar,,Sospiri op. 70,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
85,Elgar,,Serenade for strings,N/A,5,N/A,N/A,,Notes:  Scanned:  Issues: 
86,England,,Variations on an english pastoral theme,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
87,Errante,,Songs of early america,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
88,Feese,,Contrasts in e minor,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
89,Coleman,,Adieu,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
90,Fishburn,,Celtic Suite,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
91,Feese,,Colorado Suite,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
92,Feese,Newport,Festival,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
93,Fine,,"Riu Riu Chiu, trad 15th c. Spanish Carol",String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
94,Fletcher,,Folk Tune and fiddle dance,String,3 or 4,N/A,N/A,,Notes: No Score - missing 2nd vln Scanned:  Issues: 
95,Fletcher,,Semiquaver Serenade,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
96,Fletcher,,Serenade for Violas,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
97,Franck,Holcombre,Panis Angelicus,String,2 or 3,N/A,N/A,,Notes:  Scanned:  Issues: 
98,Frescobaldi,Higgins,Toccata,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
99,Frost,,Petite Rondo,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
100,Frost,,Hornpipe,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
101,Geminiani,,"Concerto Grosso op. 3, #2",N/A,3,N/A,N/A,,Notes:  Scanned:  Issues: 
102,Gershwin,Cerulli,Summertime from Porgy and Bess,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
103,Grainger,Dackow,Shepherd's Hey,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
104,Graves,,Passacaglia and fugue,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
105,Gluck,,Minuet from Orfeo,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
106,Galuppi,,Concerto in D for 2 flutes/strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
107,Grant,,The Scarlet Sarafan,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
108,Grainger,,Irish Ture from County Derry,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
109,Grainger,Dackow,Mock Morris ,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
110,Grainger,Alshin,Shepherd's Hey,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
